,bldCode,doorIndex,bldCodeDoorIndex,ProjNumber,aprtmentSize,yearsInBldg,age,lowDiscount,highDiscount,noDiscount,income,rent,own,agentID,prjectType,tic,status,Floors,MainCost,cityTax,CostForStaying,ratioCostForStaying,reason_leave,mortgage,rentPrice,bld_status
0,210_19,1,210_19_1,20180988,70,32,19,0,1,0,5145.0,0,1,2a6d0426-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
1,210_19,2,210_19_2,20180988,70,30,67,0,0,1,13088.0,0,1,2a6d04ee-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
2,210_19,3,210_19_3,20180988,70,16,38,0,0,1,15361.0,0,1,2a6d052a-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
3,210_19,4,210_19_4,20180988,70,6,16,0,1,0,5428.0,0,1,2a6d0566-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
4,210_19,5,210_19_5,20180988,70,17,61,0,0,1,12282.0,1,0,2a6d058e-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
5,210_19,6,210_19_6,20180988,70,25,77,0,1,0,6320.0,1,0,2a6d05c0-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
6,210_19,7,210_19_7,20180988,70,9,21,1,0,0,7000.0,0,1,2a6d05e8-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
7,210_19,8,210_19_8,20180988,70,6,41,0,0,1,11044.0,0,1,2a6d061a-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
8,210_19,9,210_19_9,20180988,70,2,36,0,0,1,10041.0,0,1,2a6d0642-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
9,210_19,10,210_19_10,20180988,70,9,35,0,0,1,13911.0,0,1,2a6d0674-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
10,210_19,11,210_19_11,20180988,70,10,49,0,1,0,5976.0,1,0,2a6d069c-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
11,210_19,12,210_19_12,20180988,70,12,22,0,0,1,13046.0,1,0,2a6d06ce-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
12,210_19,13,210_19_13,20180988,70,9,32,0,0,1,12300.0,0,1,2a6d0700-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
13,210_19,14,210_19_14,20180988,70,12,44,0,0,1,11487.0,0,1,2a6d0728-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
14,210_19,15,210_19_15,20180988,70,5,50,0,0,1,9359.0,1,0,2a6d075a-9b6a-11eb-ab03-acde48001122,0,0,stay,,,,,,,0,0.0,Building before
