year,New Comers_apartment_size_q1,stay_apartment_size_q1,New Comers_apartment_size_q2,stay_apartment_size_q2,New Comers_apartment_size_q3,stay_apartment_size_q3,New Comers_age_q1,stay_age_q1,New Comers_age_q2,stay_age_q2,New Comers_age_q3,stay_age_q3,New Comers_income_q1,stay_income_q1,New Comers_income_q2,stay_income_q2,New Comers_income_q3,stay_income_q3,New Comers_rent,stay_rent,New Comers_own,stay_own,New Comers_income_low,stay_income_low,New Comers_income_medium,stay_income_medium,New Comers_income_high,stay_income_high,New Comers,stay,total_pop,New Comers_income_low_ratio,New Comers_income_medium_ratio,New Comers_income_high_ratio,stay_income_low_ratio,stay_income_medium_ratio,stay_income_high_ratio
2015 Q1,,66.0,,73.0,,83.0,,30.0,,42.0,,65.0,,6403.0,,8771.0,,11667.0,,318,,579,,470.0,,427.0,,0.0,,897.0,,,,,,,
2015 Q3,,68.0,,73.0,,83.0,,30.0,,42.0,,65.0,,6413.5,,8804.0,,11669.0,,310,,565,,454.0,,421.0,,0.0,,875.0,,,,,,,
2016 Q1,,68.0,,73.0,,83.0,,31.0,,43.0,,66.0,,6413.5,,8804.0,,11669.0,,310,,565,,454.0,,421.0,,0.0,,875.0,,,,,,,
2016 Q3,,66.0,,73.0,,83.0,,31.0,,43.0,,65.25,,6427.0,,8833.5,,11729.75,,294,,542,,432.0,,404.0,,0.0,,836.0,,,,,,,
2017 Q1,82.0,66.0,82.0,73.0,82.0,83.0,32.0,32.0,47.0,44.0,60.0,66.75,18838.1052631579,6496.0,21097.1052631579,8934.5,22033.94736842105,11806.25,11.0,282,14.0,520,0.0,405.0,11.0,397.0,14.0,0.0,25.0,802.0,827.0,0.0,0.013301088270858524,0.016928657799274487,0.48972188633615477,0.4800483675937122,0.0
2017 Q3,82.0,66.0,82.0,73.0,82.0,83.0,32.0,32.0,47.0,44.0,60.0,66.75,18838.1052631579,6496.0,21097.1052631579,8934.5,22033.94736842105,11806.25,11.0,282,14.0,520,0.0,405.0,11.0,397.0,14.0,0.0,25.0,802.0,827.0,0.0,0.013301088270858524,0.016928657799274487,0.48972188633615477,0.4800483675937122,0.0
2018 Q1,82.0,66.0,82.0,73.0,92.0,83.0,31.75,33.0,42.0,45.0,60.25,68.0,19619.10526315789,6497.0,21099.868421052633,8933.0,22017.44736842105,11867.5,31.0,278,53.0,517,0.0,402.0,20.0,393.0,64.0,0.0,84.0,795.0,879.0,0.0,0.022753128555176336,0.07281001137656427,0.45733788395904434,0.447098976109215,0.0
2018 Q3,72.0,66.0,82.0,73.0,92.0,83.0,31.0,33.0,44.0,45.0,59.0,68.0,18584.605263157893,6497.0,20230.42105263158,8933.0,22263.842105263153,11867.5,69.0,278,134.0,517,0.0,402.0,75.0,393.0,128.0,0.0,203.0,795.0,998.0,0.0,0.07515030060120241,0.1282565130260521,0.4028056112224449,0.3937875751503006,0.0
2019 Q1,82.0,66.0,82.0,73.0,102.0,80.0,32.0,34.0,46.0,46.5,62.0,69.0,19415.1052631579,6503.75,21815.47368421052,8965.0,25173.13157894737,11886.75,90.0,271,195.0,493,0.0,384.0,75.0,380.0,210.0,0.0,285.0,764.0,1049.0,0.0,0.07149666348903717,0.2001906577693041,0.36606291706387034,0.3622497616777884,0.0
2019 Q3,82.0,66.0,82.0,73.0,102.0,80.0,32.0,34.0,46.0,46.5,62.0,69.0,19415.1052631579,6503.75,21815.47368421052,8965.0,25173.13157894737,11886.75,90.0,271,195.0,493,0.0,384.0,75.0,380.0,210.0,0.0,285.0,764.0,1049.0,0.0,0.07149666348903717,0.2001906577693041,0.36606291706387034,0.3622497616777884,0.0
2020 Q1,82.0,70.0,92.0,73.0,102.0,83.0,33.5,35.75,47.0,48.0,64.5,70.0,19647.5,6559.75,21859.78947368421,9029.5,24520.42105263158,11914.5,104.0,229,219.0,435,0.0,331.0,76.0,333.0,247.0,0.0,323.0,664.0,987.0,0.0,0.07700101317122594,0.2502532928064843,0.3353596757852077,0.3373860182370821,0.0
2020 Q3,82.0,70.0,92.0,73.0,102.0,80.0,33.5,35.0,47.0,48.0,64.5,70.0,19647.5,6555.25,21859.78947368421,8934.5,24520.42105263158,11853.0,104.0,219,219.0,415,0.0,320.0,76.0,314.0,247.0,0.0,323.0,634.0,957.0,0.0,0.0794148380355277,0.258098223615465,0.3343782654127482,0.3281086729362591,0.0
2021 Q1,82.0,68.0,92.0,73.0,102.0,87.0,34.5,37.0,48.0,48.0,65.5,70.0,19647.5,6657.5,21859.78947368421,8950.0,24520.42105263158,11787.75,104.0,180,219.0,358,0.0,271.0,76.0,267.0,247.0,0.0,323.0,538.0,861.0,0.0,0.08826945412311266,0.2868757259001161,0.3147502903600465,0.31010452961672474,0.0
2021 Q3,75.0,73.0,82.0,73.0,102.0,90.0,34.0,37.0,47.0,49.0,64.0,70.0,19106.513157894733,6657.5,21248.1052631579,8856.5,24477.65789473684,11670.0,152.0,155,315.0,315,0.0,242.0,139.0,228.0,328.0,0.0,467.0,470.0,937.0,0.0,0.14834578441835647,0.35005336179295626,0.25827107790821774,0.24332977588046958,0.0
2022 Q1,82.0,73.0,92.0,73.0,115.0,90.0,35.0,38.0,47.5,50.0,64.0,71.0,20189.19736842105,6674.0,23657.96052631579,8932.0,26538.34868421053,11741.5,251.0,155,481.0,321,0.0,242.0,139.0,234.0,593.0,0.0,732.0,476.0,1208.0,0.0,0.11506622516556292,0.4908940397350993,0.20033112582781457,0.19370860927152317,0.0
